OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-01","479","Road Bottle Cage","8.99","0.7192"
"2016-01-01","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-01","490","Short-Sleeve Classic Jersey, L","53.99","4.3192"
"2016-01-01","472","Classic Vest, M","63.5","5.08"
"2016-01-01","540","HL Road Tire","32.6","2.608"
"2016-01-02","539","ML Road Tire","24.99","1.9992"
"2016-01-02","530","Touring Tire Tube","4.99","0.3992"
"2016-01-02","529","Road Tire Tube","3.99","0.3192"
"2016-01-02","361","Mountain-200 Black, 42","2294.99","183.5992"
"2016-01-02","536","ML Mountain Tire","29.99","2.3992"
"2016-01-02","585","Touring-3000 Blue, 44","742.35","59.388"
"2016-01-03","333","Road-650 Black, 58","782.99","62.6392"
"2016-01-03","490","Short-Sleeve Classic Jersey, L","53.99","4.3192"
"2016-01-03","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-04","310","Road-150 Red, 62","3578.27","286.2616"
"2016-01-04","529","Road Tire Tube","3.99","0.3192"
"2016-01-04","479","Road Bottle Cage","8.99","0.7192"
"2016-01-04","536","ML Mountain Tire","29.99","2.3992"
"2016-01-04","536","ML Mountain Tire","29.99","2.3992"
"2016-01-04","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-01-05","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-05","486","All-Purpose Bike Stand","159","12.72"
"2016-01-05","225","AWC Logo Cap","8.99","0.7192"
"2016-01-05","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-05","529","Road Tire Tube","3.99","0.3192"
"2016-01-05","225","AWC Logo Cap","8.99","0.7192"
"2016-01-05","353","Mountain-200 Silver, 38","2319.99","185.5992"
"2016-01-05","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-05","541","Touring Tire","28.99","2.3192"
"2016-01-06","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-06","536","ML Mountain Tire","29.99","2.3992"
"2016-01-06","529","Road Tire Tube","3.99","0.3192"
"2016-01-06","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-06","541","Touring Tire","28.99","2.3192"
"2016-01-07","225","AWC Logo Cap","8.99","0.7192"
"2016-01-07","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-07","479","Road Bottle Cage","8.99","0.7192"
"2016-01-07","382","Road-550-W Yellow, 38","1120.49","89.6392"
"2016-01-08","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-08","574","Touring-1000 Blue, 50","2384.07","190.7256"
