OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-01","540","HL Road Tire","32.6","2.608"
"2016-01-01","225","AWC Logo Cap","8.99","0.7192"
"2016-01-01","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-01","225","AWC Logo Cap","8.99","0.7192"
"2016-01-01","372","Road-250 Red, 58","2443.35","195.468"
"2016-01-01","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-01","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-01","231","Long-Sleeve Logo Jersey, M","49.99","3.9992"
"2016-01-01","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-01","535","LL Mountain Tire","24.99","1.9992"
"2016-01-02","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-02","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-02","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-02","488","Short-Sleeve Classic Jersey, S","53.99","4.3192"
"2016-01-03","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-03","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-03","537","HL Mountain Tire","35","2.8"
"2016-01-03","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-04","351","Mountain-100 Black, 48","3374.99","269.9992"
"2016-01-04","487","Hydration Pack - 70 oz.","54.99","4.3992"
"2016-01-04","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-04","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-05","530","Touring Tire Tube","4.99","0.3992"
"2016-01-05","530","Touring Tire Tube","4.99","0.3992"
"2016-01-06","312","Road-150 Red, 48","3578.27","286.2616"
"2016-01-06","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-06","535","LL Mountain Tire","24.99","1.9992"
"2016-01-06","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-07","377","Road-250 Black, 52","2181.5625","174.525"
"2016-01-07","486","All-Purpose Bike Stand","159","12.72"
"2016-01-07","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-07","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-01-08","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-09","313","Road-150 Red, 52","3578.27","286.2616"
"2016-01-09","353","Mountain-200 Silver, 38","2319.99","185.5992"
"2016-01-09","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-09","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-09","561","Touring-1000 Yellow, 46","2384.07","190.7256"
"2016-01-09","595","Mountain-500 Silver, 52","564.99","45.1992"
"2016-01-10","358","Mountain-200 Black, 38","2049.0982","163.9279"
"2016-01-10","382","Road-550-W Yellow, 38","1120.49","89.6392"
"2016-01-10","529","Road Tire Tube","3.99","0.3192"
"2016-01-10","225","AWC Logo Cap","8.99","0.7192"
"2016-01-10","479","Road Bottle Cage","8.99","0.7192"
"2016-01-10","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-10","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-11","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-11","491","Short-Sleeve Classic Jersey, XL","53.99","4.3192"
"2016-01-11","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-12","373","Road-250 Black, 44","2181.5625","174.525"
"2016-01-12","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-12","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-12","353","Mountain-200 Silver, 38","2319.99","185.5992"
"2016-01-12","529","Road Tire Tube","3.99","0.3192"
"2016-01-12","237","Long-Sleeve Logo Jersey, XL","49.99","3.9992"
"2016-01-13","599","Mountain-500 Black, 48","539.99","43.1992"
"2016-01-13","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-14","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-01-14","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-15","225","AWC Logo Cap","8.99","0.7192"
"2016-01-15","225","AWC Logo Cap","8.99","0.7192"
"2016-01-15","478","Mountain Bottle Cage","9.99","0.7992"
